index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/001_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,1258.9,0.01,0.0005,0.1,0.1,3,64,env,68.89,0.37,62.5,0.34,62.05,0.17,68.49,0.22,61.66,0.03,61.09,0.04,59.81,0.29,61.0,0.17,60.69,0.22,59.05,0.18,60.13,0.36,60.13
2,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/002_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,772.88,0.01,0.0005,0.1,1.0,3,64,env,70.39,0.06,62.72,0.07,62.25,0.26,70.23,0.15,62.06,0.35,61.21,0.14,59.18,0.34,60.38,0.16,61.11,0.03,59.04,0.16,59.69,0.18,59.69
3,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/003_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,914.12,0.01,0.0005,0.1,2.0,3,64,env,70.9,0.56,62.77,0.19,62.32,0.19,70.61,0.34,62.11,0.45,61.18,0.4,58.83,0.16,59.57,0.4,61.0,0.53,58.59,0.16,59.48,0.28,59.48
4,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/004_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,1562.08,0.01,0.0005,0.2,0.1,3,64,env,64.32,0.12,60.42,0.06,60.05,0.25,64.05,0.05,59.8,0.41,59.38,0.08,58.08,1.05,59.83,1.0,59.1,0.07,57.53,0.34,59.35,0.49,59.35
5,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/005_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1495.08,0.01,0.0005,0.2,1.0,3,64,env,64.63,0.31,60.58,0.34,60.03,0.02,64.44,0.58,59.81,0.12,59.43,0.11,57.92,0.35,59.97,0.27,59.04,0.24,56.83,0.04,58.51,0.43,58.51
6,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/006_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,1007.24,0.01,0.0005,0.2,2.0,3,64,env,64.94,0.31,60.69,0.25,60.24,0.19,64.76,0.31,59.96,0.21,59.45,0.12,57.56,0.18,59.0,0.35,59.17,0.23,57.03,0.51,58.47,0.92,58.47
7,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/007_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,807.49,0.01,0.0005,0.3,0.1,3,64,env,60.1,0.03,57.62,0.01,57.36,0.02,59.83,0.12,57.0,0.12,56.91,0.17,56.28,0.31,58.63,0.61,56.39,0.17,55.41,0.46,57.83,0.36,57.83
8,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/008_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,800.41,0.01,0.0005,0.3,1.0,3,64,env,60.2,0.23,57.74,0.06,57.43,0.12,60.02,0.02,57.1,0.25,56.9,0.17,56.65,0.19,59.05,0.03,56.68,0.1,55.63,0.2,58.28,0.31,58.28
9,arxiv,stage1,arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/009_arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.01_weight_decay0.0005_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,688.55,0.01,0.0005,0.3,2.0,3,64,env,60.41,0.22,57.81,0.29,57.59,0.2,60.25,0.01,57.53,0.29,56.99,0.29,56.3,0.42,58.69,0.62,56.75,0.03,55.24,0.24,57.73,0.46,57.73
10,arxiv,stage1,arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1/010_arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 0.0005 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_lr0.005_weight_decay0.0005_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,747.83,0.005,0.0005,0.1,0.1,3,64,env,69.92,0.42,62.99,0.03,62.4,0.06,69.81,0.47,62.21,0.03,61.48,0.22,58.81,1.48,59.36,2.8,61.32,0.17,58.25,1.8,58.52,3.43,58.52
