index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/001_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,1321.81,0.01,5e-05,0.2,0.5,3,64,env,65.54,0.18,61.36,0.27,60.85,0.16,65.5,0.24,60.54,0.35,59.67,0.07,59.02,0.48,60.7,0.51,59.59,0.07,58.62,0.58,60.25,0.3,60.25
2,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/002_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1201.57,0.01,5e-05,0.2,1.0,3,64,env,65.06,0.35,60.94,0.12,60.63,0.19,64.8,0.16,60.28,0.03,59.55,0.19,59.16,0.04,60.96,0.11,59.49,0.1,58.6,0.61,60.42,0.51,60.42
3,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/003_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,1490.08,0.01,5e-05,0.2,2.0,3,64,env,65.41,0.41,61.16,0.19,60.73,0.33,65.29,0.58,60.64,0.35,59.78,0.36,58.95,0.22,60.7,0.31,59.46,0.55,58.49,0.24,60.28,0.18,60.28
4,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/004_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,1565.15,0.01,5e-05,0.3,0.5,3,64,env,60.59,0.42,58.16,0.47,57.92,0.31,60.38,0.27,57.76,0.27,56.68,0.37,56.19,0.46,58.25,0.7,56.52,0.16,56.15,0.52,58.16,0.83,58.16
5,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/005_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1343.47,0.01,5e-05,0.3,1.0,3,64,env,60.25,0.45,57.95,0.51,57.92,0.29,60.11,0.65,57.75,0.53,56.65,0.35,56.45,0.49,58.54,0.4,56.17,0.65,55.44,1.2,57.39,0.92,57.39
6,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/006_arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,962.57,0.01,5e-05,0.3,2.0,3,64,env,61.0,0.12,58.52,0.24,58.2,0.05,60.71,0.14,57.88,0.06,57.18,0.11,56.89,0.21,58.96,0.33,56.91,0.34,56.25,0.5,58.38,0.38,58.38
7,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/007_arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,1011.6,0.01,0.0001,0.2,0.5,3,64,env,65.08,0.56,61.1,0.4,60.78,0.43,64.79,0.17,60.46,0.24,59.57,0.25,59.16,0.22,60.65,0.03,59.36,0.2,58.06,0.26,59.92,0.06,59.92
8,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/008_arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,927.2,0.01,0.0001,0.2,1.0,3,64,env,65.46,0.1,61.32,0.12,60.88,0.05,65.36,0.24,60.72,0.08,59.74,0.38,58.84,0.22,60.78,0.21,59.61,0.27,58.65,0.11,60.25,0.23,60.25
9,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/009_arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 0.0001 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,901.57,0.01,0.0001,0.2,2.0,3,64,env,65.48,0.58,61.33,0.44,60.92,0.8,65.16,0.46,60.64,0.46,59.64,0.25,58.85,0.42,60.58,0.5,59.41,0.12,58.56,0.5,60.4,0.59,60.4
10,arxiv,stage1,arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/arxiv/stage1_gat_reduced/010_arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset arxiv --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --lr 0.01 --weight_decay 0.0001 --dropout 0.3 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name arxiv_stage1_gat_reduced_lr0.01_weight_decay0.0001_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,886.73,0.01,0.0001,0.3,0.5,3,64,env,60.76,0.12,58.18,0.1,57.91,0.09,60.66,0.14,57.59,0.01,56.79,0.12,56.44,0.09,58.28,0.1,56.65,0.0,55.85,0.24,57.55,0.22,57.55
