index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/001_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,206.73,0.01,5e-05,0.1,0.1,3,32,env,100.0,0.0,94.53,0.14,94.89,0.08,99.99,0.01,94.33,0.08,96.1,0.43,95.06,0.19,95.06
2,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/002_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,366.15,0.01,5e-05,0.1,0.1,4,32,env,100.0,0.0,94.51,0.23,94.73,0.25,100.0,0.0,94.49,0.25,95.96,0.21,95.38,0.16,95.38
3,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/003_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,393.21,0.01,5e-05,0.1,0.5,3,32,env,100.0,0.0,94.65,0.14,94.83,0.0,99.99,0.01,94.75,0.11,95.98,0.18,95.6,0.21,95.6
4,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/004_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 4 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv,0,525.93,0.01,5e-05,0.1,0.5,4,32,env,100.0,0.0,94.63,0.17,94.73,0.14,100.0,0.0,94.51,0.0,95.92,0.21,95.14,0.75,95.14
5,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/005_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,433.77,0.01,5e-05,0.1,1.0,3,32,env,100.0,0.0,94.55,0.17,94.75,0.06,100.0,0.0,94.39,0.06,96.46,0.03,95.85,0.56,95.85
6,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/006_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv,0,510.73,0.01,5e-05,0.1,1.0,4,32,env,100.0,0.0,94.59,0.23,94.73,0.03,99.99,0.01,94.55,0.17,96.4,0.13,95.98,0.33,95.98
7,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/007_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,375.18,0.01,5e-05,0.1,2.0,3,32,env,100.0,0.0,94.43,0.0,94.69,0.03,100.0,0.0,94.49,0.03,96.57,0.31,96.11,0.1,96.11
8,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K4_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/008_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K4_hidden_channels32_other_env_reduceenv,0,506.05,0.01,5e-05,0.1,2.0,4,32,env,100.0,0.0,94.57,0.26,94.75,0.17,99.99,0.01,94.59,0.34,96.41,0.11,95.61,1.06,95.61
9,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/009_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,350.35,0.01,5e-05,0.2,0.1,3,32,env,100.0,0.0,94.45,0.03,94.71,0.0,99.98,0.0,94.55,0.11,97.09,0.05,96.83,0.11,96.83
10,citeseer,stage1,citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1/010_citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gcn --env_type node --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,390.55,0.01,5e-05,0.2,0.1,4,32,env,99.99,0.01,94.39,0.23,94.77,0.08,99.98,0.0,94.35,0.28,96.95,0.13,96.55,0.16,96.55
