index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/001_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,235.28,0.01,0.0,0.1,0.5,3,32,env,100.0,0.0,88.32,0.48,88.4,0.42,100.0,0.0,88.28,0.48,94.37,0.09,94.33,0.11,94.33
2,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/002_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,339.05,0.01,0.0,0.1,0.5,3,64,env,100.0,0.0,87.35,0.6,87.88,0.37,100.0,0.0,87.66,0.57,94.18,0.28,94.15,0.29,94.15
3,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/003_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,301.57,0.01,0.0,0.1,1.0,3,32,env,100.0,0.0,88.06,0.68,88.14,0.34,99.99,0.01,88.04,0.48,94.31,0.01,94.18,0.17,94.18
4,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/004_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,337.48,0.01,0.0,0.1,1.0,3,64,env,100.0,0.0,87.6,0.88,88.24,0.54,100.0,0.0,87.9,1.02,94.16,0.58,94.05,0.7,94.05
5,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/005_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,314.42,0.01,0.0,0.1,2.0,3,32,env,100.0,0.0,88.16,0.65,88.42,0.51,99.99,0.01,88.1,0.62,94.38,0.18,94.18,0.04,94.18
6,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/006_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,318.69,0.01,0.0,0.1,2.0,3,64,env,100.0,0.0,87.76,0.77,88.02,0.4,99.99,0.01,87.66,0.74,94.24,0.35,94.03,0.46,94.03
7,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/007_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,430.87,0.01,0.0,0.2,0.5,3,32,env,99.9,0.0,87.72,0.37,87.64,0.2,99.87,0.04,87.48,0.14,93.97,0.14,93.85,0.25,93.85
8,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/008_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,417.74,0.01,0.0,0.2,0.5,3,64,env,100.0,0.0,87.6,0.14,87.98,0.11,99.99,0.01,87.68,0.14,94.38,0.09,94.26,0.03,94.26
9,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/009_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,297.04,0.01,0.0,0.2,1.0,3,32,env,99.91,0.01,87.6,0.54,87.56,0.14,99.85,0.01,87.4,0.25,93.97,0.26,93.95,0.27,93.95
10,citeseer,stage1,citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/citeseer/stage1_gat_reduced/010_citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset citeseer --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name citeseer_stage1_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,285.32,0.01,0.0,0.2,1.0,3,64,env,100.0,0.0,87.62,0.06,88.06,0.11,99.98,0.0,88.04,0.08,94.39,0.0,94.36,0.03,94.36
