index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/001_cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,104.14,0.01,5e-05,0.1,0.1,3,32,env,100.0,0.0,97.17,0.1,97.91,0.17,100.0,0.0,97.64,0.28,93.1,0.72,90.31,1.5,90.31
2,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/002_cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,105.8,0.01,5e-05,0.1,0.5,3,32,env,100.0,0.0,97.22,0.1,97.81,0.1,100.0,0.0,97.64,0.35,93.77,0.58,92.29,1.41,92.29
3,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/003_cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,82.81,0.01,5e-05,0.1,1.0,3,32,env,100.0,0.0,97.29,0.14,97.81,0.03,100.0,0.0,97.66,0.17,94.37,0.05,92.55,1.52,92.55
4,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/004_cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,177.18,0.01,5e-05,0.1,2.0,3,32,env,100.0,0.0,97.32,0.17,97.74,0.14,100.0,0.0,97.46,0.1,95.06,0.44,91.78,2.83,91.78
5,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/005_cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,187.02,0.01,5e-05,0.2,0.1,3,32,env,100.0,0.0,97.27,0.24,97.76,0.1,100.0,0.0,97.49,0.21,97.82,0.02,96.97,0.24,96.97
6,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/006_cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,178.43,0.01,5e-05,0.2,0.5,3,32,env,100.0,0.0,97.22,0.17,97.69,0.0,100.0,0.0,97.32,0.17,97.84,0.1,97.29,0.2,97.29
7,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/007_cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,195.59,0.01,5e-05,0.2,1.0,3,32,env,100.0,0.0,97.24,0.14,97.69,0.14,100.0,0.0,97.49,0.07,97.97,0.03,97.61,0.03,97.61
8,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/008_cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,184.92,0.01,5e-05,0.2,2.0,3,32,env,100.0,0.0,97.14,0.21,97.59,0.14,100.0,0.0,97.39,0.35,98.07,0.0,97.45,0.24,97.45
9,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/009_cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,192.15,0.01,5e-05,0.3,0.1,3,32,env,100.0,0.0,97.27,0.03,97.59,0.0,100.0,0.0,97.39,0.21,98.39,0.07,98.17,0.2,98.17
10,cora,stage1,cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/010_cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,188.32,0.01,5e-05,0.3,0.5,3,32,env,100.0,0.0,97.34,0.0,97.56,0.1,100.0,0.0,97.39,0.14,98.41,0.06,98.25,0.09,98.25
