index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reducesample,search_logs/cora/stage2_gat_reduced/001_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reducesample.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce sample --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reducesample,0,635.93,0.01,0.0,0.2,1.0,3,64,sample,100.0,0.0,95.75,0.03,96.24,0.08,99.99,0.01,96.0,0.34,97.6,0.09,97.4,0.17,97.4
2,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/cora/stage2_gat_reduced/002_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,773.83,0.01,0.0,0.2,1.0,3,64,env,100.0,0.0,95.81,0.05,96.21,0.13,100.0,0.0,96.04,0.22,97.63,0.06,97.4,0.09,97.4
3,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reducesample,search_logs/cora/stage2_gat_reduced/003_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reducesample.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce sample --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reducesample,0,655.43,0.01,0.0,0.2,1.0,3,32,sample,99.92,0.04,96.06,0.2,96.36,0.1,99.84,0.03,96.11,0.23,97.25,0.12,96.97,0.15,96.97
4,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage2_gat_reduced/004_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,671.51,0.01,0.0,0.2,1.0,3,32,env,99.89,0.01,96.06,0.26,96.32,0.17,99.85,0.0,96.09,0.35,97.16,0.13,96.91,0.16,96.91
5,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reducesample,search_logs/cora/stage2_gat_reduced/005_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reducesample.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce sample --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reducesample,0,595.98,0.01,0.0,0.2,2.0,3,64,sample,100.0,0.0,95.67,0.13,96.0,0.24,99.98,0.01,95.78,0.53,97.54,0.12,97.37,0.33,97.37
6,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/cora/stage2_gat_reduced/006_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,755.12,0.01,0.0,0.2,2.0,3,64,env,100.0,0.0,95.72,0.34,96.11,0.27,99.99,0.01,95.83,0.15,97.46,0.18,97.17,0.32,97.17
7,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reducesample,search_logs/cora/stage2_gat_reduced/007_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reducesample.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce sample --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reducesample,0,552.77,0.01,0.0,0.2,2.0,3,32,sample,99.94,0.04,96.06,0.15,96.37,0.19,99.87,0.09,96.09,0.25,97.32,0.21,97.0,0.1,97.0
8,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage2_gat_reduced/008_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,706.37,0.01,0.0,0.2,2.0,3,32,env,99.95,0.0,96.08,0.12,96.34,0.29,99.86,0.03,96.08,0.38,97.26,0.28,96.85,0.41,96.85
9,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reducesample,search_logs/cora/stage2_gat_reduced/009_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reducesample.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 3.0 --K 3 --hidden_channels 64 --other_env_reduce sample --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reducesample,0,649.42,0.01,0.0,0.2,3.0,3,64,sample,100.0,0.0,95.9,0.42,96.24,0.47,99.98,0.01,96.08,0.46,97.66,0.17,97.5,0.02,97.5
10,cora,stage2,cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reduceenv,search_logs/cora/stage2_gat_reduced/010_cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 3 --num_layers 2 --expert_agg mean --tau 3 --device 0 --lr 0.01 --weight_decay 0.0 --dropout 0.2 --lamda 3.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name cora_stage2_gat_reduced_lr0.01_weight_decay0.0_dropout0.2_lamda3.0_K3_hidden_channels64_other_env_reduceenv,0,747.95,0.01,0.0,0.2,3.0,3,64,env,100.0,0.0,95.78,0.03,96.11,0.25,99.98,0.01,95.85,0.06,97.49,0.17,96.94,0.72,96.94
