index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,highest_ood_test_4,highest_ood_test_4_std,highest_ood_test_5,highest_ood_test_5_std,highest_ood_test_6,highest_ood_test_6_std,highest_ood_test_7,highest_ood_test_7_std,highest_ood_test_8,highest_ood_test_8_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,final_ood_test_4,final_ood_test_4_std,final_ood_test_5,final_ood_test_5_std,final_ood_test_6,final_ood_test_6_std,final_ood_test_7,final_ood_test_7_std,final_ood_test_8,final_ood_test_8_std,last_final_ood_test
1,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/001_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,1269.43,0.01,0.001,0.1,0.1,3,32,env,100.0,0.0,80.12,2.73,82.81,0.69,100.0,0.0,79.6,1.24,80.46,0.79,69.74,2.03,56.19,3.23,53.67,2.75,52.75,3.16,56.42,3.86,66.69,3.92,59.35,5.59,79.12,1.76,68.04,1.49,52.56,1.37,50.03,0.95,48.45,1.19,49.76,0.32,59.25,4.03,53.77,2.82,53.77
2,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/002_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,1398.33,0.01,0.001,0.1,0.1,4,32,env,100.0,0.0,81.14,1.03,84.37,0.0,100.0,0.0,80.43,0.81,80.56,0.72,71.54,1.38,59.18,2.55,59.09,1.42,58.0,1.68,59.04,4.31,73.18,0.54,67.94,2.11,78.12,2.07,68.01,1.05,54.49,1.28,51.85,1.84,50.81,3.21,51.52,2.18,62.98,5.91,56.94,5.28,56.94
3,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/003_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,973.89,0.01,0.001,0.1,0.5,3,32,env,100.0,0.0,80.26,3.43,83.92,1.72,100.0,0.0,80.85,2.05,79.6,1.63,69.18,4.68,56.72,3.96,54.83,5.23,52.72,4.35,54.42,6.77,62.71,8.72,57.77,7.24,76.46,5.29,66.97,5.33,55.94,4.02,53.46,5.18,51.38,5.46,50.81,4.06,59.43,11.41,55.05,6.72,55.05
4,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/004_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 0.5 --K 4 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K4_hidden_channels32_other_env_reduceenv,0,758.66,0.01,0.001,0.1,0.5,4,32,env,100.0,0.0,81.47,1.56,84.7,0.58,100.0,0.0,81.27,0.65,81.2,0.79,73.88,2.34,60.79,1.66,58.78,0.88,56.89,0.44,59.52,3.95,71.52,0.34,63.78,1.08,78.8,2.27,69.81,1.31,55.87,0.7,53.22,1.36,52.26,1.03,53.18,0.79,65.45,3.21,57.86,3.79,57.86
5,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/005_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,1251.1,0.01,0.001,0.1,1.0,3,32,env,100.0,0.0,79.52,3.4,83.93,2.36,100.0,0.0,80.37,2.51,80.28,1.52,69.97,6.47,58.27,7.19,54.15,5.92,52.11,4.78,51.25,3.78,59.39,11.32,55.44,9.16,75.24,3.99,65.86,7.08,53.71,5.85,50.35,4.95,48.33,5.63,48.37,4.77,54.25,11.25,50.8,5.4,50.8
6,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/006_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 1.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K4_hidden_channels32_other_env_reduceenv,0,1484.47,0.01,0.001,0.1,1.0,4,32,env,100.0,0.0,80.84,1.5,83.98,0.67,100.0,0.0,79.6,1.24,80.65,0.54,70.38,2.51,57.89,3.59,55.2,2.89,53.22,2.97,53.62,2.1,66.7,4.63,59.55,2.81,76.74,1.83,67.72,1.69,54.35,1.48,51.03,2.3,49.83,2.6,50.26,3.4,58.99,10.3,55.52,7.11,55.52
7,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/007_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,595.5,0.01,0.001,0.2,0.1,3,32,env,100.0,0.0,81.1,0.0,83.98,0.67,100.0,0.0,78.71,2.65,78.8,1.46,69.18,2.06,59.21,2.86,57.25,3.12,55.94,3.21,57.05,1.5,73.94,4.21,66.02,4.21,70.98,2.61,63.79,2.3,54.83,1.7,51.89,1.09,51.4,1.72,52.14,1.99,66.7,5.88,59.51,4.56,59.51
8,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/008_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,695.4,0.01,0.001,0.2,0.1,4,32,env,100.0,0.0,80.35,1.29,83.21,0.0,99.61,0.34,78.69,2.08,79.51,1.26,69.75,2.36,59.46,4.0,57.03,4.41,55.71,3.49,55.88,2.76,71.03,5.74,64.59,5.29,74.58,3.0,66.44,4.0,55.19,2.11,52.44,1.77,52.29,1.3,53.35,1.61,65.92,3.89,59.34,2.4,59.34
9,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/009_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,517.86,0.01,0.001,0.2,0.5,3,32,env,100.0,0.0,82.49,1.21,81.64,0.65,100.0,0.0,79.24,1.43,77.9,0.73,66.19,0.59,57.43,2.37,54.04,3.09,53.23,2.34,52.94,2.99,65.45,7.02,59.61,5.12,74.87,4.54,63.78,1.58,55.16,0.78,51.44,0.34,50.87,0.7,50.6,0.82,59.73,6.16,55.82,1.53,55.82
10,elliptic,stage1,elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K4_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1/010_elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gcn --env_type node --variant --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.2 --lamda 0.5 --K 4 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K4_hidden_channels32_other_env_reduceenv,0,454.74,0.01,0.001,0.2,0.5,4,32,env,100.0,0.0,80.03,1.12,83.2,1.18,100.0,0.0,79.89,2.76,77.63,1.92,66.75,2.35,56.55,1.21,54.29,1.29,54.16,0.62,54.52,0.23,71.1,0.88,63.45,2.51,73.07,1.3,64.94,1.6,54.89,1.29,52.32,1.67,51.39,1.1,52.28,0.94,63.21,4.71,58.92,4.06,58.92
