index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,highest_ood_test_4,highest_ood_test_4_std,highest_ood_test_5,highest_ood_test_5_std,highest_ood_test_6,highest_ood_test_6_std,highest_ood_test_7,highest_ood_test_7_std,highest_ood_test_8,highest_ood_test_8_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,final_ood_test_4,final_ood_test_4_std,final_ood_test_5,final_ood_test_5_std,final_ood_test_6,final_ood_test_6_std,final_ood_test_7,final_ood_test_7_std,final_ood_test_8,final_ood_test_8_std,last_final_ood_test
1,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/001_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,1115.53,0.01,0.0005,0.1,0.5,3,32,env,99.8,0.34,77.28,1.37,82.69,3.59,99.6,0.69,76.83,3.65,75.8,3.09,74.2,7.09,66.27,10.89,63.51,8.72,58.43,9.3,56.52,6.56,71.14,11.54,66.0,9.3,71.97,2.2,68.71,6.18,56.91,11.81,56.62,8.5,52.1,9.0,51.62,6.85,60.65,13.9,57.67,8.91,57.67
2,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/002_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,1358.28,0.01,0.0005,0.1,1.0,3,32,env,99.8,0.34,73.7,5.29,78.84,4.72,99.8,0.34,77.37,3.14,72.46,5.83,67.81,7.16,54.27,6.95,54.25,4.34,48.72,2.06,49.7,2.04,57.13,0.75,55.53,1.01,67.07,3.95,61.82,5.07,49.4,2.68,49.5,1.41,45.62,0.94,46.19,0.29,49.25,0.4,49.12,0.28,49.12
3,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/003_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,1118.87,0.01,0.0005,0.1,2.0,3,32,env,99.8,0.34,72.91,4.19,80.94,5.06,99.8,0.34,75.78,0.97,71.71,2.54,65.64,4.88,51.35,3.5,50.98,3.61,46.52,2.19,47.4,1.06,53.0,4.48,52.11,3.71,69.55,2.68,64.12,3.69,50.24,2.95,49.27,2.33,45.41,1.93,46.88,1.37,49.82,2.24,50.34,2.69,50.34
4,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/004_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,743.72,0.01,0.0005,0.2,0.5,3,32,env,99.6,0.34,73.89,2.63,81.17,1.46,98.8,0.0,75.45,1.49,70.72,3.09,69.13,6.7,61.99,8.83,61.9,6.19,56.94,7.52,55.97,5.3,67.77,9.15,63.59,7.27,66.74,1.82,60.67,1.48,53.3,4.46,56.26,4.39,52.17,6.17,52.58,5.7,60.86,9.61,58.37,7.57,58.37
5,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/005_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,1211.83,0.01,0.0005,0.2,1.0,3,32,env,98.99,0.71,74.51,5.7,77.68,1.57,95.34,3.96,72.45,6.34,68.86,1.26,66.0,4.39,55.39,9.88,55.02,7.97,51.59,8.35,51.67,5.94,61.38,12.53,60.03,10.54,65.3,3.47,62.23,6.31,52.89,11.05,53.13,9.18,49.86,9.07,49.89,7.12,56.75,12.81,56.47,10.73,56.47
6,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/006_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.0005_dropout0.2_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,1264.54,0.01,0.0005,0.2,2.0,3,32,env,99.6,0.34,72.91,4.19,76.99,0.38,98.17,0.63,73.83,0.0,70.73,4.48,65.69,4.37,53.41,3.31,55.67,7.89,52.94,7.2,53.15,6.27,63.32,13.18,61.52,11.35,67.82,4.46,62.75,4.23,48.38,0.91,50.04,2.0,47.22,1.66,49.61,2.87,56.16,6.39,55.45,5.81,55.45
7,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/007_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,752.08,0.01,0.001,0.1,0.5,3,32,env,99.8,0.34,76.56,2.64,84.33,0.07,99.19,0.93,77.87,0.95,76.71,1.9,74.05,6.0,66.65,11.46,64.88,7.16,61.44,7.67,58.92,3.58,76.26,6.2,68.8,5.79,70.67,2.68,69.9,5.63,60.67,7.81,61.44,4.9,56.22,4.6,55.29,1.43,67.28,2.51,62.86,4.56,62.86
8,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/008_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,635.26,0.01,0.001,0.1,1.0,3,32,env,99.8,0.34,76.2,0.5,83.59,3.43,99.4,0.6,79.1,2.74,76.32,2.25,74.62,4.63,65.22,11.61,63.26,7.14,58.79,7.76,57.38,5.67,73.09,11.64,66.21,8.76,69.37,2.87,66.23,3.6,55.57,5.43,56.34,3.17,51.31,2.98,51.85,1.9,60.2,3.07,58.19,2.41,58.19
9,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/009_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,638.46,0.01,0.001,0.1,2.0,3,32,env,99.8,0.34,76.43,2.46,81.05,3.89,99.6,0.34,76.99,0.38,75.12,6.75,71.65,6.45,59.97,9.45,58.33,6.29,54.25,6.54,54.59,5.12,65.39,6.79,60.45,5.36,70.52,4.17,67.04,4.91,55.62,5.83,55.57,5.43,49.5,4.87,49.9,2.73,53.02,3.27,53.73,2.72,53.73
10,elliptic,stage1,elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/elliptic/stage1_gat_reduced/010_elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset elliptic --backbone_type gat --env_type graph --store_result --epochs 500 --runs 3 --num_layers 3 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 0.001 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name elliptic_stage1_gat_reduced_lr0.01_weight_decay0.001_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,419.5,0.01,0.001,0.2,0.5,3,32,env,98.8,0.0,73.95,0.0,79.49,0.0,97.96,0.37,78.25,2.15,69.33,1.77,69.86,2.97,65.98,5.75,65.57,3.76,62.27,4.69,58.94,1.55,75.81,5.86,68.71,5.42,66.59,1.52,65.31,5.17,59.7,5.61,62.18,4.21,58.82,5.48,57.31,1.44,72.25,4.59,65.76,4.6,65.76
