index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/001_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,321.08,0.01,5e-05,0.1,0.1,3,64,env,100.0,0.0,98.22,0.03,98.33,0.03,100.0,0.0,98.19,0.02,89.72,0.76,86.72,0.26,86.72
2,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/002_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,354.0,0.01,5e-05,0.1,0.5,3,64,env,100.0,0.0,98.23,0.0,98.29,0.03,100.0,0.0,98.24,0.1,90.05,1.26,88.2,1.66,88.2
3,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/003_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,363.31,0.01,5e-05,0.1,1.0,3,64,env,100.0,0.0,98.22,0.06,98.3,0.11,100.0,0.0,98.13,0.1,90.03,1.15,87.32,0.3,87.32
4,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/004_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,344.79,0.01,5e-05,0.1,2.0,3,64,env,100.0,0.0,98.25,0.11,98.24,0.06,100.0,0.0,98.16,0.05,90.11,0.72,87.69,0.77,87.69
5,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/005_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,335.08,0.01,5e-05,0.2,0.1,3,64,env,99.99,0.0,98.05,0.04,98.13,0.04,99.98,0.0,98.11,0.07,93.58,1.27,89.96,0.78,89.96
6,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/006_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,350.83,0.01,5e-05,0.2,0.5,3,64,env,99.99,0.0,98.11,0.02,98.14,0.05,99.98,0.0,98.12,0.04,93.06,0.82,90.07,0.86,90.07
7,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/007_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,404.47,0.01,5e-05,0.2,1.0,3,64,env,99.99,0.0,98.12,0.0,98.19,0.0,99.99,0.0,98.1,0.02,93.14,0.29,90.33,0.35,90.33
8,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/008_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,344.29,0.01,5e-05,0.2,2.0,3,64,env,100.0,0.0,98.18,0.04,98.21,0.01,99.99,0.0,98.14,0.08,92.81,0.88,90.21,0.27,90.21
9,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/009_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels64_other_env_reduceenv,0,341.23,0.01,5e-05,0.3,0.1,3,64,env,99.67,0.06,97.34,0.06,97.42,0.01,99.67,0.06,97.37,0.02,93.36,0.92,91.34,0.86,91.34
10,pubmed,stage1,pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1/010_pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.3 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_lr0.01_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,406.41,0.01,5e-05,0.3,0.5,3,64,env,99.72,0.02,97.39,0.05,97.47,0.04,99.72,0.02,97.4,0.03,93.36,0.47,91.74,0.15,91.74
