index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/001_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,383.86,0.01,5e-05,0.1,0.5,3,64,env,99.49,0.08,96.38,0.08,96.38,0.12,99.48,0.07,96.32,0.13,88.72,0.72,87.39,0.06,87.39
2,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/002_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,731.02,0.01,5e-05,0.1,1.0,3,64,env,99.58,0.05,96.56,0.12,96.55,0.14,99.55,0.01,96.46,0.09,88.96,1.02,88.11,0.08,88.11
3,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/003_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,532.9,0.01,5e-05,0.1,2.0,3,64,env,99.64,0.03,96.69,0.0,96.53,0.0,99.6,0.03,96.51,0.01,88.97,0.8,87.43,0.44,87.43
4,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/004_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,487.94,0.01,5e-05,0.2,0.5,3,64,env,98.65,0.16,95.87,0.15,95.94,0.14,98.63,0.19,95.88,0.12,90.86,0.77,89.73,0.36,89.73
5,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/005_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,465.59,0.01,5e-05,0.2,1.0,3,64,env,98.77,0.24,95.93,0.01,96.05,0.14,98.72,0.19,96.02,0.1,91.37,0.78,89.96,1.34,89.96
6,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/006_pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,547.49,0.01,5e-05,0.2,2.0,3,64,env,98.49,0.59,95.69,0.47,95.83,0.52,98.36,0.62,95.7,0.65,91.65,0.8,89.01,2.26,89.01
7,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/007_pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,647.09,0.005,5e-05,0.1,0.5,3,64,env,99.14,0.25,95.98,0.08,96.04,0.16,99.13,0.27,96.0,0.17,88.71,0.6,87.55,0.56,87.55
8,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/008_pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,663.08,0.005,5e-05,0.1,1.0,3,64,env,99.17,0.19,95.98,0.11,96.03,0.11,99.13,0.2,95.99,0.17,88.92,0.0,87.88,1.2,87.88
9,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/009_pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,468.1,0.005,5e-05,0.1,2.0,3,64,env,99.23,0.21,96.12,0.07,96.19,0.16,99.2,0.21,96.09,0.15,88.91,0.01,87.6,0.36,87.6
10,pubmed,stage1,pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/pubmed/stage1_gat_reduced/010_pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset pubmed --backbone_type gat --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 0 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name pubmed_stage1_gat_reduced_lr0.005_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,607.75,0.005,5e-05,0.2,0.5,3,64,env,98.14,0.13,95.31,0.1,95.42,0.11,98.09,0.18,95.32,0.22,89.55,0.64,88.42,0.01,88.42
