Namespace(K=4, backbone_type='gcn', combine_result=True, cpu=False, data_dir='./data/', dataset='twitch', device=0, display_step=1, dropout=0.2, env_type='graph', epochs=200, expert_agg='mean', gamma=0.99, gate_hidden=64, hidden_channels=64, infer_env=False, infer_env_components=64, infer_env_iters=30, infer_env_num=3, lambda_cl=0.1, lambda_dag=0.1, lambda_ind=0.1, lambda_l1=0.5, lamda=2.0, lamda_ciw=0.0001, lr=0.01, lr_dag=0.001, num_layers=2, other_env_reduce='sample', pos_weight=5.0, result_name='twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda2.0_K4_hidden_channels64_other_env_reducesample', runs=3, seed=123, store_result=True, tau=3.0, use_bn=False, variant=False, weight_decay=5e-05)
dataset twitch: all nodes 34120 | edges 429113 | classes 2 | feats 3170
train nodes 7897 | valid nodes 3949 | test in nodes 3949
test ood1 nodes 4648 test ood2 nodes 6551 test ood3 nodes 7126 
[INFO] env numbers: 6 train env numbers: 3
MODEL: CaNet(
  (experts): ModuleList(
    (0): ExpertNet(
      (convs): ModuleList(
        (0): CaNetConv()
        (1): CaNetConv()
      )
      (fcs): ModuleList(
        (0): Linear(in_features=3170, out_features=64, bias=True)
        (1): Linear(in_features=64, out_features=2, bias=True)
      )
      (act_fn): ReLU()
    )
    (1): ExpertNet(
      (convs): ModuleList(
        (0): CaNetConv()
        (1): CaNetConv()
      )
      (fcs): ModuleList(
        (0): Linear(in_features=3170, out_features=64, bias=True)
        (1): Linear(in_features=64, out_features=2, bias=True)
      )
      (act_fn): ReLU()
    )
    (2): ExpertNet(
      (convs): ModuleList(
        (0): CaNetConv()
        (1): CaNetConv()
      )
      (fcs): ModuleList(
        (0): Linear(in_features=3170, out_features=64, bias=True)
        (1): Linear(in_features=64, out_features=2, bias=True)
      )
      (act_fn): ReLU()
    )
    (3): ExpertNet(
      (convs): ModuleList(
        (0): CaNetConv()
        (1): CaNetConv()
      )
      (fcs): ModuleList(
        (0): Linear(in_features=3170, out_features=64, bias=True)
        (1): Linear(in_features=64, out_features=2, bias=True)
      )
      (act_fn): ReLU()
    )
  )
  (gate): Sequential(
    (0): Linear(in_features=3170, out_features=64, bias=True)
    (1): ReLU()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
)
[INFO] TensorBoard logging activated. Logs will be saved to: ./runs/twitch/Apr16_06-19-37_lamda_2.0
Epoch: 00, Loss: 2.0883, Train: 53.68%, Valid: 50.69%, Test In: 52.07% Test OOD1: 44.72% Test OOD2: 51.00% Test OOD3: 49.30% 
Epoch: 01, Loss: 2.0740, Train: 56.08%, Valid: 52.71%, Test In: 53.89% Test OOD1: 45.81% Test OOD2: 51.04% Test OOD3: 50.03% 
Epoch: 02, Loss: 2.0533, Train: 61.36%, Valid: 56.75%, Test In: 57.68% Test OOD1: 48.78% Test OOD2: 51.58% Test OOD3: 52.81% 
Epoch: 03, Loss: 2.0311, Train: 71.76%, Valid: 66.34%, Test In: 66.76% Test OOD1: 63.55% Test OOD2: 51.65% Test OOD3: 61.49% 
Epoch: 04, Loss: 2.0121, Train: 67.89%, Valid: 64.12%, Test In: 63.85% Test OOD1: 62.86% Test OOD2: 50.99% Test OOD3: 59.93% 
Epoch: 05, Loss: 1.9868, Train: 66.73%, Valid: 63.32%, Test In: 62.93% Test OOD1: 62.43% Test OOD2: 50.87% Test OOD3: 59.59% 
Epoch: 06, Loss: 1.9678, Train: 67.16%, Valid: 63.48%, Test In: 63.21% Test OOD1: 62.64% Test OOD2: 50.90% Test OOD3: 59.92% 
Epoch: 07, Loss: 1.9471, Train: 68.21%, Valid: 63.98%, Test In: 63.95% Test OOD1: 63.06% Test OOD2: 51.00% Test OOD3: 60.50% 
Epoch: 08, Loss: 1.9246, Train: 69.68%, Valid: 64.71%, Test In: 65.02% Test OOD1: 63.65% Test OOD2: 51.13% Test OOD3: 61.15% 
Epoch: 09, Loss: 1.9033, Train: 71.72%, Valid: 65.92%, Test In: 66.63% Test OOD1: 64.55% Test OOD2: 51.25% Test OOD3: 61.90% 
Epoch: 10, Loss: 1.8780, Train: 73.70%, Valid: 67.17%, Test In: 68.15% Test OOD1: 65.30% Test OOD2: 51.32% Test OOD3: 62.53% 
Epoch: 11, Loss: 1.8518, Train: 75.45%, Valid: 68.38%, Test In: 69.38% Test OOD1: 65.61% Test OOD2: 51.36% Test OOD3: 62.94% 
Epoch: 12, Loss: 1.8302, Train: 76.18%, Valid: 68.71%, Test In: 69.69% Test OOD1: 65.71% Test OOD2: 51.23% Test OOD3: 62.95% 
Epoch: 13, Loss: 1.8039, Train: 77.66%, Valid: 69.64%, Test In: 70.53% Test OOD1: 65.35% Test OOD2: 51.47% Test OOD3: 62.92% 
Epoch: 14, Loss: 1.7904, Train: 77.12%, Valid: 69.10%, Test In: 69.94% Test OOD1: 65.90% Test OOD2: 51.02% Test OOD3: 62.69% 
Epoch: 15, Loss: 1.7860, Train: 79.05%, Valid: 70.16%, Test In: 71.07% Test OOD1: 65.21% Test OOD2: 51.08% Test OOD3: 62.54% 
