index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/001_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,398.05,0.01,5e-05,0.0,0.1,4,32,env,81.93,0.57,72.44,0.18,74.46,0.02,77.9,0.17,74.34,0.05,68.5,0.04,54.27,0.06,64.26,0.08,67.94,0.17,53.96,0.18,64.11,0.1,64.11
2,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/002_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 0.1 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda0.1_K4_hidden_channels64_other_env_reduceenv,0,515.07,0.01,5e-05,0.0,0.1,4,64,env,84.84,0.46,72.66,0.09,74.6,0.03,77.1,0.41,74.58,0.06,68.68,0.1,54.43,0.1,64.34,0.03,68.27,0.07,54.04,0.1,64.21,0.0,64.21
3,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/003_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels32_other_env_reduceenv,0,297.04,0.01,5e-05,0.0,1.0,4,32,env,82.25,0.31,72.69,0.01,74.51,0.06,78.87,0.07,74.31,0.04,68.45,0.01,54.68,0.26,64.27,0.01,67.75,0.05,54.22,0.29,63.9,0.1,63.9
4,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/004_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,0,370.9,0.01,5e-05,0.0,1.0,4,64,env,84.91,1.01,72.67,0.14,74.6,0.09,77.39,0.44,74.57,0.05,68.73,0.06,54.59,0.02,64.35,0.02,68.37,0.11,54.07,0.03,64.19,0.02,64.19
5,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/005_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels32_other_env_reduceenv,0,545.23,0.01,5e-05,0.0,2.0,4,32,env,81.25,0.92,72.76,0.28,74.45,0.12,78.92,0.14,74.22,0.18,68.52,0.14,54.52,0.18,64.25,0.01,67.72,0.27,54.2,0.13,63.86,0.09,63.86
6,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/006_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,0,581.54,0.01,5e-05,0.0,2.0,4,64,env,86.75,0.2,72.68,0.05,74.64,0.05,77.48,0.71,74.55,0.07,68.68,0.16,54.72,0.01,64.36,0.09,68.02,0.13,54.14,0.23,64.09,0.1,64.09
7,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/007_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels32_other_env_reduceenv,0,413.22,0.01,5e-05,0.2,0.1,4,32,env,78.44,0.03,73.95,0.06,75.04,0.04,78.32,0.05,75.02,0.06,69.33,0.1,54.06,0.0,64.32,0.02,67.87,0.04,53.68,0.04,63.64,0.05,63.64
8,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/008_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda0.1_K4_hidden_channels64_other_env_reduceenv,0,367.3,0.01,5e-05,0.2,0.1,4,64,env,79.76,0.6,73.99,0.04,75.03,0.05,79.47,0.39,74.92,0.06,69.33,0.14,54.15,0.13,64.31,0.02,67.89,0.34,53.51,0.03,63.22,0.28,63.22
9,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels32_other_env_reduceenv,search_logs/twitch/stage1/009_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels32_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 4 --hidden_channels 32 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels32_other_env_reduceenv,0,495.64,0.01,5e-05,0.2,1.0,4,32,env,78.69,0.02,73.95,0.0,74.98,0.06,78.63,0.01,74.91,0.13,69.45,0.0,54.06,0.02,64.27,0.01,67.74,0.55,53.51,0.33,63.53,0.0,63.53
10,twitch,stage1,twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1/010_twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 3 --seed 2024 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --lamda 1.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_lr0.01_weight_decay5e-05_dropout0.2_lamda1.0_K4_hidden_channels64_other_env_reduceenv,0,338.57,0.01,5e-05,0.2,1.0,4,64,env,79.66,0.73,74.01,0.02,75.03,0.04,79.18,0.59,74.97,0.05,69.23,0.04,54.17,0.17,64.29,0.03,67.84,0.53,53.71,0.11,63.22,0.47,63.22
