index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/001_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,735.68,0.01,5e-05,0.0,0.5,3,64,env,78.58,1.35,74.15,0.09,75.02,0.0,78.31,1.24,74.93,0.04,68.31,0.3,54.25,0.22,63.55,0.23,68.03,0.0,53.85,0.07,63.37,0.13,63.37
2,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/002_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 0.5 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda0.5_K4_hidden_channels64_other_env_reduceenv,0,660.45,0.01,5e-05,0.0,0.5,4,64,env,77.82,0.24,74.18,0.04,74.97,0.06,77.75,0.25,74.93,0.03,68.08,0.09,53.93,0.17,63.36,0.01,67.89,0.0,53.72,0.13,63.25,0.08,63.25
3,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/003_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,557.73,0.01,5e-05,0.0,1.0,3,64,env,78.53,0.48,74.3,0.04,75.04,0.03,78.37,0.4,74.97,0.03,68.22,0.05,54.17,0.34,63.52,0.07,67.61,0.42,53.74,0.24,62.99,0.45,62.99
4,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/004_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 1.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda1.0_K4_hidden_channels64_other_env_reduceenv,0,1048.5,0.01,5e-05,0.0,1.0,4,64,env,77.64,0.01,74.18,0.13,75.08,0.14,77.57,0.05,75.04,0.1,68.17,0.1,53.93,0.15,63.37,0.03,68.09,0.08,53.77,0.14,63.31,0.05,63.31
5,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K3_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/005_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K3_hidden_channels64_other_env_reduceenv,0,710.68,0.01,5e-05,0.0,2.0,3,64,env,78.83,0.51,74.32,0.17,75.28,0.13,78.33,0.02,75.22,0.15,68.32,0.22,54.2,0.27,63.47,0.03,68.15,0.28,54.05,0.18,63.28,0.04,63.28
6,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/006_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --lamda 2.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.0_lamda2.0_K4_hidden_channels64_other_env_reduceenv,0,837.47,0.01,5e-05,0.0,2.0,4,64,env,78.57,0.7,74.26,0.11,75.18,0.15,78.27,0.43,75.15,0.13,68.23,0.14,54.01,0.01,63.43,0.08,68.01,0.22,53.78,0.07,63.28,0.12,63.28
7,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/007_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels64_other_env_reduceenv,0,663.03,0.01,5e-05,0.1,0.5,3,64,env,77.73,0.38,74.4,0.15,75.28,0.14,77.7,0.38,75.25,0.16,68.19,0.11,54.02,0.42,63.55,0.07,67.95,0.11,53.72,0.2,63.32,0.01,63.32
8,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/008_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda0.5_K4_hidden_channels64_other_env_reduceenv,0,1178.24,0.01,5e-05,0.1,0.5,4,64,env,77.67,0.2,74.36,0.06,75.18,0.01,77.55,0.33,75.17,0.0,68.16,0.03,53.97,0.07,63.52,0.07,68.13,0.03,53.77,0.07,63.47,0.13,63.47
9,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/009_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels64_other_env_reduceenv,0,1059.21,0.01,5e-05,0.1,1.0,3,64,env,77.95,0.12,74.44,0.14,75.31,0.17,77.86,0.21,75.29,0.21,68.33,0.15,54.17,0.29,63.54,0.01,68.01,0.08,53.87,0.16,63.41,0.02,63.41
10,twitch,stage1,twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels64_other_env_reduceenv,search_logs/twitch/stage1_gat_reduced/010_twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels64_other_env_reduceenv.log,python main.py --dataset twitch --backbone_type gat --env_type graph --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 2 --device 1 --other_env_objective irm --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 4 --hidden_channels 64 --other_env_reduce env --result_name twitch_stage1_gat_reduced_lr0.01_weight_decay5e-05_dropout0.1_lamda1.0_K4_hidden_channels64_other_env_reduceenv,0,1110.1,0.01,5e-05,0.1,1.0,4,64,env,78.02,0.32,74.47,0.06,75.29,0.0,77.99,0.28,75.27,0.02,68.31,0.01,54.08,0.1,63.5,0.11,68.02,0.17,53.88,0.16,63.2,0.22,63.2
