index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/001_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,655.42,0.005,5e-05,0.1,64,2,73.48,0.44,63.37,0.51,63.74,0.09,73.22,0.41,63.24,0.07,61.65,0.15,60.37,0.33,61.6,0.21,61.3,0.07,59.21,0.28,60.48,0.3,60.48
2,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/002_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,604.97,0.005,5e-05,0.1,64,3,73.34,0.09,63.11,0.1,63.07,0.08,72.58,0.19,62.85,0.06,61.29,0.18,60.12,0.35,61.12,0.6,60.91,0.19,59.56,0.67,60.67,0.65,60.67
3,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/003_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K2,0,762.47,0.005,5e-05,0.1,128,2,89.31,0.29,64.56,0.05,64.64,0.04,85.47,3.93,64.05,0.22,61.8,0.32,60.71,0.44,61.75,0.18,60.95,0.06,58.68,0.22,59.65,0.15,59.65
4,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/004_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels128_K3,0,732.99,0.005,5e-05,0.1,128,3,88.52,0.6,64.13,0.02,64.58,0.33,83.37,4.41,63.92,0.04,61.92,0.31,60.83,0.07,61.78,0.12,61.35,0.48,59.95,0.37,60.57,0.38,60.57
5,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/005_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,697.96,0.005,5e-05,0.2,64,2,67.8,0.47,62.34,0.24,62.69,0.34,67.39,0.55,62.27,0.67,61.13,0.08,60.34,0.25,61.85,0.59,60.67,0.17,59.35,0.23,60.83,0.61,60.83
6,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/006_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,647.53,0.005,5e-05,0.2,64,3,67.39,0.1,62.22,0.13,62.64,0.04,66.78,0.42,62.15,0.04,60.86,0.12,59.9,0.28,61.33,0.63,60.55,0.13,59.28,0.31,60.63,0.63,60.63
7,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2,search_logs_frontdoor/arxiv/gat/stage1/007_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 128 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K2,0,673.68,0.005,5e-05,0.2,128,2,76.4,0.5,64.36,0.5,64.75,0.4,75.61,0.88,64.31,0.49,62.62,0.17,60.99,0.07,62.03,0.0,62.15,0.6,60.24,1.13,61.28,0.09,61.28
8,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3,search_logs_frontdoor/arxiv/gat/stage1/008_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 128 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels128_K3,0,672.12,0.005,5e-05,0.2,128,3,75.7,0.59,64.19,0.12,64.81,0.06,75.5,0.31,64.34,0.32,62.45,0.17,60.97,0.2,62.28,0.25,62.17,0.44,60.06,0.67,60.78,0.64,60.78
9,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2,search_logs_frontdoor/arxiv/gat/stage1/009_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 64 --K 2 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K2,0,646.96,0.005,5e-05,0.3,64,2,63.48,0.17,60.16,0.19,60.58,0.11,63.07,0.08,60.35,0.0,59.32,0.04,59.0,0.78,60.49,0.78,58.83,0.01,58.25,0.42,60.19,0.38,60.19
10,arxiv,gat,stage1,arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gat/stage1/010_arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.3_hidden_channels64_K3,0,668.03,0.005,5e-05,0.3,64,3,63.25,0.41,60.0,0.27,60.72,0.19,62.9,0.72,60.03,0.15,59.18,0.16,59.04,0.6,60.62,0.36,58.79,0.71,58.44,1.42,59.97,0.76,59.97
