index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/arxiv/gcn/stage1/001_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 2 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K2,0,616.57,0.01,0.0005,0.1,64,2,75.73,1.96,62.4,0.18,62.72,0.23,74.74,2.18,62.06,0.13,60.76,0.06,58.84,0.71,59.73,1.16,60.22,0.34,56.98,1.2,57.26,1.54,57.26
2,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/arxiv/gcn/stage1/002_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 64 --K 3 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels64_K3,0,476.91,0.01,0.0005,0.1,64,3,75.62,1.06,62.27,0.35,62.89,0.09,73.13,1.01,62.18,0.3,60.97,0.25,59.49,0.39,59.82,0.31,60.67,0.02,57.17,0.45,56.12,0.1,56.12
3,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K2,search_logs_frontdoor/arxiv/gcn/stage1/003_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 128 --K 2 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K2,0,584.0,0.01,0.0005,0.1,128,2,92.46,0.23,62.34,0.34,62.73,0.12,76.04,1.22,62.17,0.03,61.38,0.2,59.96,0.0,60.58,0.39,60.27,0.13,57.31,1.11,56.58,2.28,56.58
4,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K3,search_logs_frontdoor/arxiv/gcn/stage1/004_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.1 --hidden_channels 128 --K 3 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.1_hidden_channels128_K3,0,548.16,0.01,0.0005,0.1,128,3,92.79,0.41,62.53,0.02,62.85,0.42,79.35,0.16,62.0,0.27,61.39,0.05,59.81,0.6,60.81,0.16,60.83,0.13,58.38,0.01,58.59,0.76,58.59
5,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/arxiv/gcn/stage1/005_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 2 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K2,0,590.46,0.01,0.0005,0.2,64,2,68.8,0.02,62.08,0.39,62.57,0.05,67.98,0.43,62.27,0.13,61.02,0.34,59.6,0.55,60.97,0.29,60.41,0.17,57.29,0.36,58.43,1.29,58.43
6,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/arxiv/gcn/stage1/006_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 64 --K 3 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels64_K3,0,570.46,0.01,0.0005,0.2,64,3,68.9,0.06,62.03,0.23,62.49,0.05,68.06,0.57,61.99,0.5,61.0,0.05,58.79,0.22,59.78,0.5,60.67,0.18,57.07,1.66,56.86,2.51,56.86
7,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K2,search_logs_frontdoor/arxiv/gcn/stage1/007_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 128 --K 2 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K2,0,569.29,0.01,0.0005,0.2,128,2,79.61,0.67,63.46,0.03,63.41,0.15,77.67,0.18,62.93,0.46,61.76,0.25,59.23,0.74,60.33,1.05,60.62,0.35,57.09,0.96,57.15,1.95,57.15
8,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K3,search_logs_frontdoor/arxiv/gcn/stage1/008_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.2 --hidden_channels 128 --K 3 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.2_hidden_channels128_K3,0,502.4,0.01,0.0005,0.2,128,3,79.73,0.78,63.51,0.19,63.47,0.35,77.55,1.65,62.68,0.09,61.85,0.1,60.48,0.3,61.04,0.15,61.04,0.06,57.78,1.04,57.51,1.6,57.51
9,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K2,search_logs_frontdoor/arxiv/gcn/stage1/009_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K2.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.3 --hidden_channels 64 --K 2 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K2,0,342.36,0.01,0.0005,0.3,64,2,64.07,0.71,60.36,0.52,60.83,0.01,63.87,0.59,60.55,0.06,59.67,0.3,58.84,0.67,60.0,0.59,59.26,0.6,57.54,1.03,59.03,0.94,59.03
10,arxiv,gcn,stage1,arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K3,search_logs_frontdoor/arxiv/gcn/stage1/010_arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K3.log,python main_frontdoor.py --dataset arxiv --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --variant --lr 0.01 --weight_decay 0.0005 --dropout 0.3 --hidden_channels 64 --K 3 --result_name arxiv_gcn_frontdoor_stage1_lr0.01_weight_decay0.0005_dropout0.3_hidden_channels64_K3,0,285.95,0.01,0.0005,0.3,64,3,64.16,0.87,60.26,0.38,60.79,0.57,63.82,0.88,60.2,0.77,59.78,0.39,58.42,0.31,59.89,0.58,59.54,0.27,57.67,0.8,59.38,1.2,59.38
