index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/citeseer/gat/stage1/001_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 32 --K 2 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2,0,180.01,0.01,0.0,0.1,32,2,100.0,0.0,94.91,0.28,94.65,0.14,100.0,0.0,94.27,0.06,97.25,0.08,96.83,0.3,96.83
2,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/citeseer/gat/stage1/002_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 32 --K 3 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3,0,255.42,0.01,0.0,0.1,32,3,100.0,0.0,95.25,0.14,94.83,0.23,99.99,0.01,94.55,0.17,97.33,0.09,96.81,0.01,96.81
3,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/citeseer/gat/stage1/003_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 64 --K 2 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2,0,358.0,0.01,0.0,0.1,64,2,100.0,0.0,95.19,0.11,94.57,0.03,100.0,0.0,94.45,0.14,97.01,0.01,96.57,0.27,96.57
4,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/citeseer/gat/stage1/004_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 64 --K 3 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3,0,227.33,0.01,0.0,0.1,64,3,100.0,0.0,94.87,0.06,94.49,0.03,100.0,0.0,93.87,0.17,96.99,0.18,96.54,0.36,96.54
5,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/citeseer/gat/stage1/005_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 32 --K 2 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2,0,286.87,0.01,0.0,0.2,32,2,100.0,0.0,94.93,0.09,94.53,0.2,99.98,0.03,94.19,0.28,97.25,0.03,97.08,0.09,97.08
6,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/citeseer/gat/stage1/006_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 32 --K 3 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3,0,350.51,0.01,0.0,0.2,32,3,100.0,0.0,95.23,0.23,94.75,0.06,99.98,0.0,94.47,0.28,97.4,0.06,97.22,0.28,97.22
7,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/citeseer/gat/stage1/007_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 64 --K 2 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2,0,294.67,0.01,0.0,0.2,64,2,100.0,0.0,95.35,0.17,94.85,0.03,99.99,0.01,94.61,0.08,97.45,0.06,97.35,0.09,97.35
8,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/citeseer/gat/stage1/008_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 64 --K 3 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3,0,238.11,0.01,0.0,0.2,64,3,100.0,0.0,95.21,0.03,94.67,0.06,99.99,0.01,94.39,0.06,97.34,0.02,97.26,0.01,97.26
9,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/citeseer/gat/stage1/009_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,431.05,0.01,5e-05,0.1,32,2,100.0,0.0,95.17,0.09,94.79,0.11,99.98,0.03,94.43,0.17,97.17,0.17,95.41,0.23,95.41
10,citeseer,gat,stage1,citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/citeseer/gat/stage1/010_citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name citeseer_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,355.95,0.01,5e-05,0.1,32,3,100.0,0.0,95.23,0.28,94.91,0.06,99.98,0.0,94.57,0.14,97.02,0.16,96.26,0.26,96.26
