index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/citeseer/gcn/stage1/001_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,163.48,0.01,5e-05,0.0,32,2,100.0,0.0,93.67,0.11,93.95,0.28,100.0,0.0,93.81,0.2,81.37,1.47,77.66,1.98,77.66
2,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/citeseer/gcn/stage1/002_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,220.12,0.01,5e-05,0.0,32,3,100.0,0.0,93.81,0.14,94.15,0.11,99.99,0.01,93.85,0.03,81.59,0.89,79.47,1.84,79.47
3,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/citeseer/gcn/stage1/003_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,205.79,0.01,5e-05,0.0,64,2,100.0,0.0,93.21,0.2,93.43,0.34,99.92,0.11,93.01,0.08,82.6,0.62,79.85,2.05,79.85
4,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/citeseer/gcn/stage1/004_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,219.0,0.01,5e-05,0.0,64,3,100.0,0.0,92.97,0.03,93.45,0.2,100.0,0.0,93.25,0.2,83.2,0.04,80.11,0.56,80.11
5,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/citeseer/gcn/stage1/005_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,208.03,0.01,5e-05,0.1,32,2,100.0,0.0,95.47,0.17,95.43,0.23,100.0,0.0,95.31,0.06,97.28,0.17,96.76,0.52,96.76
6,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/citeseer/gcn/stage1/006_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,222.42,0.01,5e-05,0.1,32,3,100.0,0.0,95.23,0.23,95.05,0.08,99.99,0.01,94.59,0.34,97.13,0.16,96.15,0.5,96.15
7,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/citeseer/gcn/stage1/007_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,212.46,0.01,5e-05,0.1,64,2,100.0,0.0,95.61,0.03,95.43,0.17,100.0,0.0,95.11,0.4,96.14,0.43,93.88,0.67,93.88
8,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/citeseer/gcn/stage1/008_citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name citeseer_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,281.41,0.01,5e-05,0.1,64,3,100.0,0.0,95.51,0.23,95.33,0.08,100.0,0.0,94.95,0.11,95.73,0.21,93.94,0.21,93.94
9,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/citeseer/gcn/stage1/009_citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,211.7,0.005,5e-05,0.0,32,2,100.0,0.0,94.31,0.06,94.51,0.28,100.0,0.0,94.33,0.31,80.59,0.16,75.7,0.69,75.7
10,citeseer,gcn,stage1,citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/citeseer/gcn/stage1/010_citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset citeseer --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name citeseer_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,272.87,0.005,5e-05,0.0,32,3,100.0,0.0,94.57,0.14,94.49,0.2,100.0,0.0,94.41,0.25,79.26,1.69,73.61,0.6,73.61
