index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/cora/gat/stage1/001_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 32 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K2,0,76.48,0.01,0.0,0.1,32,2,100.0,0.0,97.64,0.21,97.88,0.07,100.0,0.0,97.46,0.1,98.36,0.04,97.59,0.07,97.59
2,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/cora/gat/stage1/002_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 32 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels32_K3,0,372.63,0.01,0.0,0.1,32,3,100.0,0.0,97.76,0.38,97.98,0.14,100.0,0.0,97.74,0.0,98.44,0.05,97.75,0.44,97.75
3,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/cora/gat/stage1/003_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 64 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K2,0,244.28,0.01,0.0,0.1,64,2,100.0,0.0,97.69,0.21,98.1,0.1,100.0,0.0,97.69,0.21,98.03,0.33,96.56,0.64,96.56
4,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/cora/gat/stage1/004_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.1 --hidden_channels 64 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.1_hidden_channels64_K3,0,361.06,0.01,0.0,0.1,64,3,100.0,0.0,97.54,0.0,97.96,0.03,100.0,0.0,97.59,0.07,98.06,0.17,96.7,1.18,96.7
5,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/cora/gat/stage1/005_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 32 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K2,0,276.79,0.01,0.0,0.2,32,2,100.0,0.0,97.51,0.24,98.13,0.07,99.98,0.03,97.76,0.1,98.63,0.05,98.07,0.32,98.07
6,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/cora/gat/stage1/006_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 32 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels32_K3,0,267.39,0.01,0.0,0.2,32,3,100.0,0.0,97.46,0.17,98.06,0.03,100.0,0.0,97.88,0.07,98.66,0.06,98.46,0.1,98.46
7,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/cora/gat/stage1/007_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 64 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K2,0,268.31,0.01,0.0,0.2,64,2,100.0,0.0,97.37,0.24,98.01,0.03,100.0,0.0,97.64,0.21,98.61,0.07,97.75,0.19,97.75
8,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/cora/gat/stage1/008_cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 0.0 --dropout 0.2 --hidden_channels 64 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay0.0_dropout0.2_hidden_channels64_K3,0,275.12,0.01,0.0,0.2,64,3,100.0,0.0,97.42,0.03,97.88,0.07,100.0,0.0,97.42,0.1,98.63,0.05,98.07,0.64,98.07
9,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/cora/gat/stage1/009_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,249.35,0.01,5e-05,0.1,32,2,100.0,0.0,97.91,0.24,98.13,0.07,100.0,0.0,97.98,0.14,97.66,0.26,95.56,0.57,95.56
10,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/cora/gat/stage1/010_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,231.61,0.01,5e-05,0.1,32,3,100.0,0.0,97.78,0.35,98.18,0.21,100.0,0.0,97.88,0.21,97.98,0.19,95.99,1.44,95.99
11,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/cora/gat/stage1/011_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,326.11,0.01,5e-05,0.1,64,2,100.0,0.0,97.81,0.03,98.23,0.35,100.0,0.0,97.96,0.1,97.04,0.51,96.09,0.92,96.09
12,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/cora/gat/stage1/012_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,333.52,0.01,5e-05,0.1,64,3,100.0,0.0,97.76,0.24,98.2,0.24,100.0,0.0,97.76,0.31,97.29,0.45,95.86,0.77,95.86
13,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/cora/gat/stage1/013_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,218.73,0.01,5e-05,0.2,32,2,100.0,0.0,97.66,0.17,98.06,0.03,100.0,0.0,97.88,0.07,98.67,0.03,97.82,0.5,97.82
14,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/cora/gat/stage1/014_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,236.24,0.01,5e-05,0.2,32,3,100.0,0.0,97.74,0.14,98.15,0.03,100.0,0.0,97.83,0.0,98.62,0.01,98.31,0.27,98.31
15,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/cora/gat/stage1/015_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,308.86,0.01,5e-05,0.2,64,2,100.0,0.0,97.69,0.28,98.2,0.17,100.0,0.0,97.74,0.07,98.53,0.06,97.41,0.32,97.41
16,cora,gat,stage1,cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/cora/gat/stage1/016_cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name cora_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,370.51,0.01,5e-05,0.2,64,3,100.0,0.0,97.81,0.03,98.1,0.03,100.0,0.0,97.69,0.21,98.6,0.04,98.13,0.44,98.13
