index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
1,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/cora/gcn/stage1/001_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,145.11,0.01,5e-05,0.1,32,2,100.0,0.0,97.61,0.17,97.93,0.0,100.0,0.0,97.76,0.1,97.31,0.32,96.01,0.33,96.01
2,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/cora/gcn/stage1/002_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,175.54,0.01,5e-05,0.1,32,3,100.0,0.0,97.66,0.03,98.06,0.1,100.0,0.0,97.64,0.0,96.95,0.65,94.78,1.55,94.78
3,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/cora/gcn/stage1/003_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,215.37,0.01,5e-05,0.1,64,2,100.0,0.0,97.76,0.1,98.06,0.1,100.0,0.0,97.59,0.14,96.23,0.82,93.5,1.44,93.5
4,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/cora/gcn/stage1/004_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,170.75,0.01,5e-05,0.1,64,3,100.0,0.0,97.69,0.14,98.15,0.1,100.0,0.0,97.59,0.21,96.05,0.81,93.58,0.5,93.58
5,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/cora/gcn/stage1/005_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,192.88,0.01,5e-05,0.2,32,2,100.0,0.0,97.66,0.1,98.03,0.0,100.0,0.0,97.76,0.03,98.49,0.11,97.73,0.34,97.73
6,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/cora/gcn/stage1/006_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,169.79,0.01,5e-05,0.2,32,3,100.0,0.0,97.39,0.07,98.03,0.07,100.0,0.0,97.54,0.07,98.39,0.18,97.52,0.5,97.52
7,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,search_logs_frontdoor/cora/gcn/stage1/007_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K2,0,169.82,0.01,5e-05,0.2,64,2,100.0,0.0,97.61,0.03,98.08,0.07,100.0,0.0,97.86,0.24,98.31,0.15,96.76,0.46,96.76
8,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/cora/gcn/stage1/008_cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name cora_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,181.31,0.01,5e-05,0.2,64,3,100.0,0.0,97.46,0.1,98.06,0.03,100.0,0.0,97.74,0.07,98.3,0.25,96.77,1.16,96.77
9,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/cora/gcn/stage1/009_cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,199.34,0.005,5e-05,0.1,32,2,100.0,0.0,97.46,0.24,97.96,0.1,100.0,0.0,97.51,0.52,97.54,0.07,95.66,0.65,95.66
10,cora,gcn,stage1,cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/cora/gcn/stage1/010_cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset cora --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name cora_gcn_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,184.62,0.005,5e-05,0.1,32,3,100.0,0.0,97.71,0.17,97.98,0.28,100.0,0.0,97.69,0.14,97.51,0.19,96.21,0.9,96.21
