index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,highest_ood_test_4,highest_ood_test_4_std,highest_ood_test_5,highest_ood_test_5_std,highest_ood_test_6,highest_ood_test_6_std,highest_ood_test_7,highest_ood_test_7_std,highest_ood_test_8,highest_ood_test_8_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,final_ood_test_4,final_ood_test_4_std,final_ood_test_5,final_ood_test_5_std,final_ood_test_6,final_ood_test_6_std,final_ood_test_7,final_ood_test_7_std,final_ood_test_8,final_ood_test_8_std,last_final_ood_test
1,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/elliptic/gcn/stage1/001_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.1 --hidden_channels 32 --K 3 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K3,0,843.8,0.01,0.001,0.1,32,3,100.0,0.0,80.85,0.47,82.31,0.88,100.0,0.0,74.92,4.0,82.38,1.71,80.38,3.97,70.42,1.54,66.11,1.04,68.3,4.23,69.31,0.88,75.92,5.08,70.48,2.06,76.24,1.68,75.46,2.32,66.37,1.15,63.39,1.23,64.98,4.84,63.45,1.18,62.32,4.21,56.97,4.75,56.97
2,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K5,search_logs_frontdoor/elliptic/gcn/stage1/002_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.1 --hidden_channels 32 --K 5 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels32_K5,0,876.22,0.01,0.001,0.1,32,5,100.0,0.0,82.57,1.36,84.03,0.04,99.76,0.42,74.61,5.81,78.72,1.28,76.23,1.56,69.22,4.96,64.94,2.74,66.51,5.74,68.77,2.93,74.03,2.16,68.93,2.37,76.32,1.29,70.49,7.5,63.39,7.64,60.16,8.68,61.62,9.34,61.28,6.12,64.83,7.64,59.72,10.03,59.72
3,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/elliptic/gcn/stage1/003_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.1 --hidden_channels 64 --K 3 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K3,0,930.06,0.01,0.001,0.1,64,3,100.0,0.0,82.58,1.02,82.92,1.2,100.0,0.0,74.7,6.36,79.72,1.61,77.91,2.06,71.26,4.5,66.03,1.21,64.38,3.08,66.66,0.19,76.46,1.69,69.28,1.98,74.65,2.74,70.4,6.05,60.11,8.53,58.67,7.41,58.54,5.27,60.18,6.28,68.33,3.62,62.67,1.83,62.67
4,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K5,search_logs_frontdoor/elliptic/gcn/stage1/004_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.1 --hidden_channels 64 --K 5 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.1_hidden_channels64_K5,0,870.76,0.01,0.001,0.1,64,5,100.0,0.0,81.02,1.1,83.45,0.52,100.0,0.0,77.9,3.1,78.09,0.26,75.59,0.6,67.43,1.1,65.32,1.74,65.32,4.76,67.01,0.95,76.86,0.25,71.7,2.43,74.8,2.66,68.67,4.36,61.08,3.31,59.74,1.32,60.98,0.5,62.76,2.44,67.51,2.23,63.11,3.65,63.11
5,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/elliptic/gcn/stage1/005_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.2 --hidden_channels 32 --K 3 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K3,0,523.15,0.01,0.001,0.2,32,3,100.0,0.0,81.64,0.54,82.88,0.49,100.0,0.0,74.3,1.84,77.2,0.53,73.66,0.61,68.64,1.21,65.43,1.59,64.56,1.72,67.21,1.54,78.58,4.8,70.23,4.07,65.38,3.52,66.12,4.52,60.49,3.4,58.87,2.95,59.96,1.88,64.33,1.83,70.76,3.83,65.31,4.88,65.31
6,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K5,search_logs_frontdoor/elliptic/gcn/stage1/006_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.2 --hidden_channels 32 --K 5 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels32_K5,0,627.67,0.01,0.001,0.2,32,5,100.0,0.0,81.99,0.52,84.29,0.97,100.0,0.0,74.22,3.65,76.51,1.73,73.83,1.94,66.46,1.79,64.4,1.09,64.11,4.4,67.62,0.5,77.24,1.5,71.1,1.43,70.92,5.3,69.5,2.06,61.32,3.96,61.03,2.24,59.88,1.39,65.53,1.51,72.52,4.77,67.38,5.9,67.38
7,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/elliptic/gcn/stage1/007_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.2 --hidden_channels 64 --K 3 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K3,0,506.66,0.01,0.001,0.2,64,3,100.0,0.0,81.98,0.5,85.12,1.73,99.53,0.81,79.96,1.48,77.49,0.2,73.77,1.98,67.56,0.92,65.86,0.73,64.38,1.48,67.32,0.6,77.38,2.66,71.73,1.28,74.58,0.49,70.69,0.47,61.78,1.68,58.49,3.3,59.49,1.12,64.13,2.26,70.61,4.55,66.53,3.34,66.53
8,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K5,search_logs_frontdoor/elliptic/gcn/stage1/008_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.2 --hidden_channels 64 --K 5 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.2_hidden_channels64_K5,0,503.87,0.01,0.001,0.2,64,5,100.0,0.0,82.07,0.95,84.77,0.83,100.0,0.0,79.52,1.03,77.36,1.09,75.07,2.07,66.92,2.8,65.09,2.57,61.94,1.11,68.25,0.56,78.7,1.51,70.92,0.4,73.41,4.54,67.05,2.41,60.84,0.7,55.47,2.58,58.57,1.1,63.75,1.77,71.23,1.34,65.64,0.6,65.64
9,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K3,search_logs_frontdoor/elliptic/gcn/stage1/009_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K3.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.3 --hidden_channels 32 --K 3 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K3,0,469.28,0.01,0.001,0.3,32,3,100.0,0.0,83.16,0.9,84.96,2.46,99.51,0.42,75.14,5.26,76.13,0.67,72.89,0.5,65.75,0.8,63.77,1.16,61.89,0.25,67.52,0.59,79.02,2.18,70.88,1.46,70.77,2.38,69.66,1.65,62.72,2.59,61.59,2.91,61.28,0.48,64.13,1.22,71.13,3.57,64.99,1.92,64.99
10,elliptic,gcn,stage1,elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K5,search_logs_frontdoor/elliptic/gcn/stage1/010_elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K5.log,python main_frontdoor.py --dataset elliptic --backbone_type gcn --store_result --epochs 500 --runs 3 --num_layers 3 --device 1 --variant --lr 0.01 --weight_decay 0.001 --dropout 0.3 --hidden_channels 32 --K 5 --result_name elliptic_gcn_frontdoor_stage1_lr0.01_weight_decay0.001_dropout0.3_hidden_channels32_K5,0,512.12,0.01,0.001,0.3,32,5,100.0,0.0,82.3,1.74,83.1,1.47,99.52,0.42,75.25,0.42,75.03,2.18,73.51,1.8,68.24,3.0,65.65,2.71,63.63,2.31,67.41,0.61,77.49,0.86,72.48,0.99,71.16,1.16,67.77,1.19,63.28,2.23,62.56,3.19,62.27,2.62,65.01,1.6,69.3,0.79,66.12,1.08,66.12
