index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/001_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,603.2,0.01,5e-05,0.0,32,2,80.27,0.93,74.67,0.0,75.41,0.07,78.28,0.17,75.39,0.08,68.52,0.03,55.68,0.31,64.0,0.14,68.45,0.1,54.89,0.08,63.6,0.23,63.6
2,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/002_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,483.64,0.01,5e-05,0.0,32,3,80.05,0.32,74.63,0.08,75.57,0.07,78.46,0.95,75.53,0.09,68.38,0.18,55.72,0.31,64.23,0.03,67.91,0.25,54.81,0.32,63.97,0.33,63.97
3,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/003_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,410.51,0.01,5e-05,0.0,64,2,83.75,0.88,74.72,0.0,75.6,0.02,78.08,0.16,75.58,0.0,68.34,0.23,55.83,0.05,64.19,0.22,68.27,0.33,54.85,0.02,63.95,0.33,63.95
4,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/004_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,459.17,0.01,5e-05,0.0,64,3,82.47,3.85,74.61,0.02,75.58,0.02,77.8,0.19,75.57,0.02,68.36,0.02,56.0,0.31,64.32,0.12,68.21,0.02,54.67,0.62,64.07,0.46,64.07
5,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/005_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,446.93,0.01,5e-05,0.1,32,2,80.98,0.55,74.84,0.06,75.6,0.1,78.5,0.38,75.53,0.15,68.03,0.28,55.1,0.8,63.99,0.25,67.69,0.35,54.38,0.09,63.56,0.23,63.56
6,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/006_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,425.35,0.01,5e-05,0.1,32,3,80.7,0.25,74.9,0.17,75.65,0.27,79.18,0.59,75.51,0.31,68.1,0.19,55.02,0.4,63.67,0.37,67.28,0.8,54.71,0.3,62.75,0.36,62.75
7,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/007_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,457.26,0.01,5e-05,0.1,64,2,84.26,1.76,74.94,0.07,75.75,0.31,78.44,0.2,75.46,0.06,67.9,0.24,54.76,0.05,63.55,0.14,67.53,0.32,54.37,0.27,63.12,0.28,63.12
8,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/008_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,566.42,0.01,5e-05,0.1,64,3,82.91,2.08,74.93,0.03,75.74,0.09,78.42,0.57,75.46,0.04,68.12,0.33,55.01,0.06,63.74,0.6,67.81,0.27,54.45,0.47,63.23,0.27,63.23
9,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/009_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,377.14,0.01,5e-05,0.2,32,2,79.03,0.44,74.99,0.03,75.41,0.3,78.11,0.58,75.3,0.2,68.0,0.16,54.33,0.13,63.19,0.31,67.57,0.08,54.05,0.1,62.86,0.35,62.86
10,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/010_twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,497.8,0.01,5e-05,0.2,32,3,79.09,0.22,74.98,0.06,75.5,0.25,78.03,0.25,75.44,0.33,67.78,0.56,54.28,0.31,63.22,0.14,67.64,0.7,54.04,0.41,63.13,0.05,63.13
