index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/001_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K2,0,493.56,0.01,5e-05,0.0,32,2,85.39,0.77,73.47,0.16,74.76,0.06,78.61,0.03,74.7,0.02,68.01,0.89,54.92,0.73,64.34,0.18,67.76,0.53,54.5,0.37,64.25,0.1,64.25
2,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/002_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels32_K3,0,380.72,0.01,5e-05,0.0,32,3,84.56,0.38,73.61,0.26,74.79,0.07,79.42,0.67,74.54,0.09,68.33,0.41,55.02,0.59,64.41,0.05,66.88,1.0,54.81,0.47,63.6,0.05,63.6
3,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/003_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K2,0,388.1,0.01,5e-05,0.0,64,2,87.59,0.24,73.73,0.03,75.25,0.03,77.36,0.22,74.96,0.12,68.32,0.19,54.58,0.38,64.42,0.15,67.31,0.4,53.77,0.28,63.97,0.21,63.97
4,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/004_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.0_hidden_channels64_K3,0,387.28,0.01,5e-05,0.0,64,3,86.04,1.63,73.58,0.26,75.08,0.04,78.86,0.23,75.02,0.08,68.49,0.49,54.72,0.44,64.43,0.24,67.29,0.31,54.11,0.37,63.74,0.19,63.74
5,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/005_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K2,0,332.57,0.01,5e-05,0.1,32,2,88.06,1.22,74.32,0.06,75.16,0.18,77.71,0.19,75.05,0.07,67.98,0.15,54.53,0.26,64.14,0.07,66.2,0.1,54.29,0.24,63.49,0.16,63.49
6,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/006_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels32_K3,0,343.61,0.01,5e-05,0.1,32,3,87.1,0.1,74.44,0.11,75.25,0.3,78.0,1.04,75.02,0.02,68.04,0.66,54.53,0.21,64.18,0.0,65.88,0.52,53.98,0.14,63.27,0.28,63.27
7,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gcn/stage1/007_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K2,0,263.44,0.01,5e-05,0.1,64,2,88.69,1.44,74.57,0.03,75.28,0.02,80.07,1.9,74.97,0.3,68.5,0.04,54.39,0.1,64.2,0.05,66.68,0.71,53.56,0.82,62.59,1.38,62.59
8,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gcn/stage1/008_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.1_hidden_channels64_K3,0,285.83,0.01,5e-05,0.1,64,3,89.93,2.42,74.6,0.23,75.43,0.19,77.78,0.25,75.33,0.16,68.29,0.19,54.23,0.41,64.28,0.04,67.01,0.17,53.81,0.56,63.73,0.04,63.73
9,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gcn/stage1/009_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K2,0,440.02,0.01,5e-05,0.2,32,2,82.37,1.62,75.05,0.09,75.59,0.21,80.49,0.25,75.58,0.21,68.46,0.81,54.27,0.11,63.67,0.0,66.18,0.51,53.52,0.25,61.59,0.83,61.59
10,twitch,gcn,stage1,twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,search_logs_frontdoor/twitch/gcn/stage1/010_twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 32 --K 3 --result_name twitch_gcn_frontdoor_stage1_lr0.01_weight_decay5e-05_dropout0.2_hidden_channels32_K3,0,261.86,0.01,5e-05,0.2,32,3,82.45,0.1,75.02,0.24,75.57,0.19,79.65,1.97,75.37,0.08,67.45,0.46,54.26,0.11,63.73,0.09,65.65,0.19,53.58,0.02,62.26,0.52,62.26
