index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,lambda_fd,lambda_spu,lambda_ind,context_gate_temp,fd_blend,pos_weight,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
1,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/001_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight3.0,0,211.95,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.3,3.0,85.12,2.33,73.46,0.21,74.81,0.03,78.88,0.44,74.58,0.14,68.11,0.44,54.76,0.55,64.31,0.02,67.17,0.35,54.21,0.07,63.73,0.13,63.73
2,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/002_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight5.0,0,223.22,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.3,5.0,85.0,1.67,73.72,0.14,74.96,0.26,79.46,0.03,74.75,0.02,68.18,0.27,54.94,0.65,64.5,0.02,66.23,0.6,54.47,0.22,63.2,0.04,63.2
3,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/003_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_pos_weight7.0,0,163.97,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.3,7.0,84.53,2.0,73.69,0.02,74.91,0.11,79.58,1.2,74.43,0.57,68.17,0.18,55.01,0.05,64.53,0.19,66.7,0.22,54.43,0.38,63.28,0.06,63.28
4,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/004_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight3.0,0,157.54,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.5,3.0,86.49,2.51,73.52,0.12,74.84,0.14,77.84,0.7,74.78,0.12,67.99,0.17,54.19,0.21,64.49,0.1,66.94,0.07,54.01,0.12,63.96,0.16,63.96
5,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/005_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight5.0,0,161.56,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.5,5.0,85.55,1.33,73.35,0.11,74.85,0.15,78.18,1.21,74.68,0.01,68.23,0.08,55.0,0.31,64.55,0.06,67.39,0.19,54.01,0.13,64.08,0.11,64.08
6,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/006_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_pos_weight7.0,0,165.81,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,0.5,0.5,7.0,85.94,2.69,73.63,0.71,74.73,0.03,78.15,0.74,74.65,0.06,68.06,0.03,55.11,0.11,64.19,0.09,67.26,0.41,54.43,0.39,63.71,0.31,63.71
7,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/007_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight3.0,0,165.16,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.3,3.0,85.18,1.35,73.52,0.24,74.85,0.14,78.34,0.21,74.85,0.14,68.51,0.01,54.68,0.43,64.49,0.11,67.92,0.06,54.11,0.18,64.11,0.34,64.11
8,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight5.0,search_logs_frontdoor/twitch/gcn/stage2/008_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight5.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 5.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight5.0,0,165.49,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.3,5.0,87.12,1.62,73.64,0.27,74.97,0.01,78.48,1.91,74.69,0.31,68.15,0.11,54.69,0.01,64.36,0.21,66.74,0.24,53.96,0.59,63.4,0.53,63.4
9,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight7.0,search_logs_frontdoor/twitch/gcn/stage2/009_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight7.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.3 --pos_weight 7.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.3_pos_weight7.0,0,149.58,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.3,7.0,83.98,3.11,73.79,0.63,74.99,0.23,79.2,0.24,74.72,0.18,68.15,0.37,55.02,0.47,64.39,0.11,66.61,0.31,54.4,0.13,63.21,0.37,63.21
10,twitch,gcn,stage2,twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight3.0,search_logs_frontdoor/twitch/gcn/stage2/010_twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight3.0.log,python main_frontdoor.py --dataset twitch --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.01 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.5 --pos_weight 3.0 --result_name twitch_gcn_frontdoor_stage2_lr0.01_weight_decay0.0001_dropout0.0_hidden_channels32_K3_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.5_pos_weight3.0,0,165.6,0.01,0.0001,0.0,32,3,0.5,0.05,0.05,1.0,0.5,3.0,87.48,3.37,73.3,0.16,74.76,0.19,77.54,0.38,74.73,0.2,68.0,0.38,54.57,0.34,64.28,0.12,66.75,0.47,54.05,0.01,63.79,0.25,63.79
